source_occupation,target_domain,target_occupation_code,target_occupation_name,evidence_source,skill_similarity,transferable_skill_coverage,target_skill_gap,transition_span,feasibility_level,education_barrier,credential_barrier,training_experience_barrier,taxonomy_distance_level,aggregate_market_validation,taiwanjobs_mapping_confidence,taiwanjobs_manual_review_needed,high_relevance_job_count,medium_relevance_job_count,high_relevance_demand_persons,salary_lower_median_monthly_high,salary_upper_median_monthly_high,salary_basis,number_of_missing_skills,number_of_gap_skills,missing_skills_preview,partially_covered_skills_preview,trainable_missing_skills_found,number_of_trainable_missing_skills_found,potential_training_coverage_ratio,gap_skill_potential_training_coverage_ratio,matched_course_count,matched_courses,total_training_hours,estimated_direct_course_cost,learning_burden,scenario_6m_potential_training_coverage_ratio,scenario_6m_training_hours,scenario_6m_direct_course_cost,scenario_6m_feasibility_estimate,data_limitations,market_evidence_status,training_gap_status,career_opportunity_status,ntpc_population_18_35,ntpc_population_period,ntpc_population_age_scope,ntpc_population_age_harmonization,ntpc_population_male,ntpc_population_female,mol_transition_intention_percent,mol_transition_denominator,mol_transition_age_harmonization,mol_training_participation_percent,mol_training_denominator,mol_training_age_harmonization,mol_no_course_info_percent,mol_no_course_info_denominator,mol_no_course_info_age_harmonization,mol_fee_barrier_percent,mol_fee_barrier_denominator,mol_fee_barrier_age_harmonization
Registered Nurses,Technology / AI,15-1211.01,Health Informatics Specialists,nursing_to_technology_training_v4.csv,0.978606,0.910283,0.315,Partial skill reuse,Bridge candidate,high,low,low,Distant category,Moderate,Medium,yes,,,,,,not_available_for_high_relevance_in_existing_output,3,11,Design; Computers and Electronics; Engineering and Technology,Systems Analysis; Systems Evaluation; Complex Problem Solving; Reading Comprehension; Learning Strategies; Management of Personnel Resources; Education and Training; Time Management,Computers and Electronics,1,0.333,0.091,1,171272 Python與AI應用於資料庫分析班,30.0,5860.0,high,0.333,30.0,5860.0,limited missing-skill coverage in window,TaiwanJobs mapping requires manual review,"Aggregate market evidence only (Moderate, mapping Medium); job-level High evidence unavailable in existing output",Training gap,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Technology / AI,15-2051.02,Clinical Data Managers,nursing_to_technology_training_v4.csv,0.97776,0.939341,0.2095,Partial skill reuse,Bridge candidate,low,low,low,Distant category,Moderate,Medium,yes,,,,,,not_available_for_high_relevance_in_existing_output,2,5,Programming; Computers and Electronics,Mathematics; Management of Personnel Resources; Time Management,Computers and Electronics; Programming,2,1.0,0.6,3,174133 AI應用Power BI智慧商業數據分析實務班; 171493 Python與PyTorch神經網路訓練實作班; 171272 Python與AI應用於資料庫分析班,108.0,21430.0,medium,1.0,72.0,14060.0,most missing skills have matched courses in window,TaiwanJobs mapping requires manual review,"Aggregate market evidence only (Moderate, mapping Medium); job-level High evidence unavailable in existing output",Potential course coverage found,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Technology / AI,11-9121.01,Clinical Research Coordinators,nursing_to_technology_training_v4.csv,0.985976,0.974813,0.088704,High skill reuse,Adjacent candidate,low,low,low,Distant category,Moderate,Medium,yes,,,,,,not_available_for_high_relevance_in_existing_output,0,2,none,Management of Personnel Resources; Time Management,none,0,1.0,0.0,0,none,0.0,0.0,low,1.0,0.0,0.0,no missing skill gap,TaiwanJobs mapping requires manual review,"Aggregate market evidence only (Moderate, mapping Medium); job-level High evidence unavailable in existing output",No missing-skill gap identified,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Technology / AI,29-2072.00,Medical Records Specialists,nursing_to_technology_training_v4.csv,0.974376,0.970946,0.111333,Partial skill reuse,Bridge candidate,unknown,low,low,Adjacent category,Moderate,Medium,yes,,,,,,not_available_for_high_relevance_in_existing_output,0,2,none,Computers and Electronics; Administrative,none,0,1.0,0.5,1,171272 Python與AI應用於資料庫分析班,30.0,5860.0,low,1.0,0.0,0.0,no missing skill gap,TaiwanJobs mapping requires manual review,"Aggregate market evidence only (Moderate, mapping Medium); job-level High evidence unavailable in existing output",No missing-skill gap identified,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Technology / AI,15-2099.01,Bioinformatics Technicians,nursing_to_technology_training_v4.csv,0.962227,0.883155,0.460463,Partial skill reuse,Bridge candidate,medium,low,low,Distant category,Moderate,Medium,yes,,,,,,not_available_for_high_relevance_in_existing_output,3,5,Computers and Electronics; Programming; Mathematics,Biology; Mathematics,Computers and Electronics; Mathematics; Programming,3,1.0,1.0,4,174133 AI應用Power BI智慧商業數據分析實務班; 171493 Python與PyTorch神經網路訓練實作班; 171272 Python與AI應用於資料庫分析班; 173561 Python網路爬蟲與資料分析實務班,153.0,29830.0,medium,1.0,108.0,21430.0,most missing skills have matched courses in window,TaiwanJobs mapping requires manual review,"Aggregate market evidence only (Moderate, mapping Medium); job-level High evidence unavailable in existing output",Potential course coverage found,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Technology / AI,15-2051.00,Data Scientists,nursing_to_technology_training_v4.csv,0.948126,0.844401,0.580694,Major reskilling,Bridge candidate,unknown,low,low,Distant category,Moderate,Medium,yes,,,,,,not_available_for_high_relevance_in_existing_output,4,4,Programming; Computers and Electronics; Mathematics; Mathematics,none,Computers and Electronics; Mathematics; Programming,4,1.0,1.0,2,171464 Python資料科學大數據處理應用班; 171272 Python與AI應用於資料庫分析班,75.0,14610.0,high,1.0,75.0,14610.0,most missing skills have matched courses in window,TaiwanJobs mapping requires manual review,"Aggregate market evidence only (Moderate, mapping Medium); job-level High evidence unavailable in existing output",Potential course coverage found,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Beauty / Aesthetic / Personal Care,39-1022.00,First-Line Supervisors of Personal Service Workers,nursing_to_beauty_candidates_phase5.csv,0.983001,0.935094,0.242315,High skill reuse,Adjacent candidate,low,low,low,Distant category,Insufficient public evidence,job-level phase5 relevance output,Spa/beauty management may appear as service staff in TaiwanJobs; management fit requires review.,0.0,0.0,0.0,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,2,2,Personnel and Human Resources; Management of Personnel Resources,Administration and Management; Computers and Electronics; Public Safety and Security; Time Management; Persuasion; Education and Training; Customer and Personal Service,see matched_training_courses,1,0.5,0.5,8,"香氛保養品調製與化妝品PIF安全建置實務班 (54h, 10500 TWD, High); 保養品與美容皂配方設計班 (78h, 16000 TWD, High); 癒手舒活spa芳療班 (66h, 15700 TWD, High); 挽臉美容專業人員實務班 (45h, 11800 TWD, Medium); 美容技能應用班 (70h, 16660 TWD, Medium); 美容師從業員培訓班 (72h, 15000 TWD, Medium); 美容技術指導師培訓班 (72h, 17100 TWD, Medium); 美容肌膚進階技能實務班 (72h, 17100 TWD, Medium)",529.0,119860.0,medium,,,,not_available_in_phase5_output,"Strongest reuse comes from clinical care and client trust, but Taiwan role localization still needs evidence.",公開市場證據不足,Potential course coverage found,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Beauty / Aesthetic / Personal Care,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",nursing_to_beauty_candidates_phase5.csv,0.971967,0.952281,0.182667,Major reskilling,Bridge candidate,unknown,high,low,Distant category,Strong,job-level phase5 relevance output,,16.0,0.0,33.0,29500.0,32500.0,monthly_only_excludes_hourly_daily_piece_and_negotiated,1,1,Sales and Marketing,Customer and Personal Service,see matched_training_courses,1,1.0,1.0,3,"美髮剪燙染應用班 (77h, 18320 TWD, Medium); 時尚美髮設計班 (47h, 12800 TWD, Medium); 時尚剪染美髮流行趨勢進階班 (78h, 18530 TWD, Medium)",202.0,49650.0,medium,,,,not_available_in_phase5_output,Low skill similarity should not exclude this path; treat it as a user-driven major-reskilling option if training and market evidence are present.,High-relevance TaiwanJobs evidence,Potential course coverage found,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Beauty / Aesthetic / Personal Care,39-5011.00,Barbers,nursing_to_beauty_candidates_phase5.csv,0.973096,0.958879,0.14125,Major reskilling,Bridge candidate,unknown,high,low,Distant category,Strong,job-level phase5 relevance output,,16.0,0.0,33.0,29500.0,32500.0,monthly_only_excludes_hourly_daily_piece_and_negotiated,1,1,Sales and Marketing,Law and Government; Chemistry; Public Safety and Security,see matched_training_courses,1,1.0,1.0,3,"美髮剪燙染應用班 (77h, 18320 TWD, Medium); 時尚美髮設計班 (47h, 12800 TWD, Medium); 時尚剪染美髮流行趨勢進階班 (78h, 18530 TWD, Medium)",202.0,49650.0,medium,,,,not_available_in_phase5_output,Low skill similarity should not exclude this path; treat it as a user-driven major-reskilling option if training and market evidence are present.,High-relevance TaiwanJobs evidence,Potential course coverage found,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
Registered Nurses,Beauty / Aesthetic / Personal Care,39-5093.00,Shampooers,nursing_to_beauty_candidates_phase5.csv,0.971309,0.961583,0.147778,Major reskilling,Major-reskilling path,low,low,low,Distant category,Strong,job-level phase5 relevance output,,16.0,0.0,33.0,29500.0,32500.0,monthly_only_excludes_hourly_daily_piece_and_negotiated,1,1,Sales and Marketing,none,see matched_training_courses,1,1.0,1.0,3,"美髮剪燙染應用班 (77h, 18320 TWD, Medium); 時尚美髮設計班 (47h, 12800 TWD, Medium); 時尚剪染美髮流行趨勢進階班 (78h, 18530 TWD, Medium)",202.0,49650.0,medium,,,,not_available_in_phase5_output,Low skill similarity should not exclude this path; treat it as a user-driven major-reskilling option if training and market evidence are present.,High-relevance TaiwanJobs evidence,Potential course coverage found,structurally feasible,942897,109年 10月,18-35 exact single-age sum,Exact,485794,457103,33.9,all,Proxy for 18-35,50.8,all,Proxy for 18-35,20.8,among non-participants,Proxy for 18-35,8.1,among non-participants,Proxy for 18-35
