source_occupation_id,source_occupation_zh,source_description,target_domain,display_order,target_occupation_name,transition_type,transferable_skills,missing_skills,learning_burden,evidence_level,market_evidence_status,training_evidence_status,description,method_note
architecture_interior_design_assistant,建築／室內設計助理,適合代表低薪、工時長、專業訓練明確但職涯分岔不清楚的青年族群。此案例可連結空間、城市資料、BIM、GIS、設計與專案管理。,空間／城市／設計營運,1,BIM／建築資訊建模助理,相鄰路徑,空間理解；圖面閱讀；建築流程；細節整理,BIM 軟體；Revit；模型資料管理,中,半自動候選＋人工確認,需市場驗證,待補強,從傳統建築／室內設計工作延伸到數位建築與模型協作。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
architecture_interior_design_assistant,建築／室內設計助理,適合代表低薪、工時長、專業訓練明確但職涯分岔不清楚的青年族群。此案例可連結空間、城市資料、BIM、GIS、設計與專案管理。,空間／城市／設計營運,2,GIS／都市資料分析助理,橋接路徑,空間邏輯；基地與都市尺度理解；地圖判讀,GIS；Python；資料視覺化；空間資料處理,高,市場訊號待補強,待補強,待補強,把空間背景轉成城市資料、地圖分析與公共資料應用能力。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
architecture_interior_design_assistant,建築／室內設計助理,適合代表低薪、工時長、專業訓練明確但職涯分岔不清楚的青年族群。此案例可連結空間、城市資料、BIM、GIS、設計與專案管理。,空間／城市／設計營運,3,UI／UX 或服務設計助理,橋接路徑,使用者需求理解；設計表達；版面與視覺組織,Figma；使用者研究；互動流程；前端基礎,中,半自動候選＋人工確認,需市場驗證,待補強,從空間設計轉向數位產品與使用者體驗設計。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
architecture_interior_design_assistant,建築／室內設計助理,適合代表低薪、工時長、專業訓練明確但職涯分岔不清楚的青年族群。此案例可連結空間、城市資料、BIM、GIS、設計與專案管理。,空間／城市／設計營運,4,營建／專案管理助理,相鄰路徑,圖面溝通；專案協調；工程流程理解,排程；成本；合約；跨單位溝通,中,半自動候選＋人工確認,需市場驗證,待補強,從設計端延伸到工程管理與專案協作。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
architecture_interior_design_assistant,建築／室內設計助理,適合代表低薪、工時長、專業訓練明確但職涯分岔不清楚的青年族群。此案例可連結空間、城市資料、BIM、GIS、設計與專案管理。,空間／城市／設計營運,5,展場／空間企劃,相鄰路徑,空間規劃；視覺敘事；提案簡報,活動企劃；品牌溝通；預算控管,低,半自動候選＋人工確認,需市場驗證,待補強,適合不想完全離開設計，但想轉向更短週期、溝通導向工作的青年。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
hospitality_tourism_service_staff,餐旅／觀光服務人員,適合代表青年常見第一份工作、服務業工時不穩、職涯天花板不明確、想轉向營運、行銷、旅遊科技或客戶關係工作的族群。,服務／營運／旅遊科技,1,活動企劃／展會活動協調,橋接路徑,現場服務；顧客溝通；流程掌控；臨場反應,企劃書；預算；專案排程；廠商協調,中,半自動候選＋人工確認,需市場驗證,待補強,把餐旅現場經驗轉成活動與體驗設計能力。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
hospitality_tourism_service_staff,餐旅／觀光服務人員,適合代表青年常見第一份工作、服務業工時不穩、職涯天花板不明確、想轉向營運、行銷、旅遊科技或客戶關係工作的族群。,服務／營運／旅遊科技,2,客戶成功／客服營運,橋接路徑,顧客需求理解；溝通；問題處理；服務流程,CRM；SaaS 基礎；資料紀錄；跨部門協作,中,半自動候選＋人工確認,需市場驗證,待補強,從第一線服務轉向數位產品或企業服務的客戶經營。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
hospitality_tourism_service_staff,餐旅／觀光服務人員,適合代表青年常見第一份工作、服務業工時不穩、職涯天花板不明確、想轉向營運、行銷、旅遊科技或客戶關係工作的族群。,服務／營運／旅遊科技,3,數位行銷／社群內容助理,橋接路徑,消費者理解；服務情境觀察；品牌接觸經驗,社群經營；廣告投放；內容企劃；基礎數據分析,中,市場訊號待補強,待補強,待補強,把顧客互動經驗轉成品牌溝通與行銷操作。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
hospitality_tourism_service_staff,餐旅／觀光服務人員,適合代表青年常見第一份工作、服務業工時不穩、職涯天花板不明確、想轉向營運、行銷、旅遊科技或客戶關係工作的族群。,服務／營運／旅遊科技,4,旅遊產品／行程企劃,相鄰路徑,旅遊場景理解；顧客服務；行程安排；在地資訊,產品包裝；成本估算；平台操作；供應商溝通,中,半自動候選＋人工確認,需市場驗證,待補強,從旅宿或觀光服務延伸到旅遊產品設計。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
hospitality_tourism_service_staff,餐旅／觀光服務人員,適合代表青年常見第一份工作、服務業工時不穩、職涯天花板不明確、想轉向營運、行銷、旅遊科技或客戶關係工作的族群。,服務／營運／旅遊科技,5,門市／餐旅營運督導,相鄰路徑,現場營運；服務品質；排班與流程經驗,人員管理；KPI；庫存；成本控管,低,半自動候選＋人工確認,需市場驗證,待補強,適合想留在服務產業，但往管理職或營運職發展的青年。,半自動候選＋人工確認 demo；市場與訓練 evidence profile 待補強
